Table,Column,Match
,TOTPAYEXPENSES,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasMonetaryAmount]-> (fibo:Fee) -[fibo:hasAmount]-> (VALUE)
,LAST_ACTION_USER_ID,-[efs:has_last_action_user_id_VALUE]-> (VALUE)
,DATECREATED,-[fibo:hasDateAdded]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,,
contact,,Notice
,ENTRY_USER_ID,-[efs:has_entry_user_id]-> (fibo:LegalAgent) -[efs:has_entry_user_id_VALUE]-> (VALUE)
,CONTACTDATE,-[fibo:hasEventDate]-> (fibo:Date) -[fibo:hasDateValue]-> (VALUE)
,PAYAMOUNT,-[efs:hasIndividualPaymentTransaction]-> (fibo:IndividualPaymentTransaction) -[fibo:hasPaymentAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,COST_,-[fibo:hasCost]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,USER_ID,-[efs:has_user_id]-> (fibo:LegalAgent) -[efs:has_user_id_VALUE]-> (VALUE)
,ENTRYDATE,-[fibo:hasDateAdded]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,CURRENCY_CODE,-[efs:hasFinancialInstrument]-> (fibo:FinancialInstrument) -[fibo:isDenominatedIn]-> (fibo:Currency) -[fibo:hasNumericCode]-> (VALUE)
,RECEITNO,-[efs:hasFinancialInstrument]-> (fibo:FinancialInstrument) -[fibo:isIdentifiedBy]-> (fibo:FinancialInstrumentIdentifier) -[fibo:hasTag]-> (VALUE)
,DATEUPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,PAYDATE,-[efs:hasIndividualPaymentTransaction]-> (fibo:IndividualPaymentTransaction) -[fibo:hasTransactionDate]-> (fibo:TransactionDate) -[fibo:hasDateValue]-> (VALUE)
,,
email,,ElectronicMailAddress
,IS_COMMUNICATION,-[efs:has_is_communication_VALUE]-> (VALUE)
,DT_UPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,SECONDARY_ID,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,EMAIL,-[fibo:hasTag]-> (VALUE)
,,
msettlement_detail,,msettlement_detail
,DT_UPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,DT_CREATED,-[fibo:hasDateAdded]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,PAIDAMOUNT,-[efs:hasIndividualPaymentTransaction]-> (fibo:IndividualPaymentTransaction) -[fibo:hasPaymentAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,PROMISEDAMOUNT,-[efs:hasPromissoryNote]-> (fibo:PromissoryNote) -[fibo:hasAmount]-> (VALUE)
,PROMISEDDATE,-[efs:hasPromissoryNote]-> (fibo:PromissoryNote) -[fibo:hasMaturityDate]-> (fibo:PaymentDueDate) -[fibo:hasDateValue]-> (VALUE)
,,
msettlement_master,,MasterAgreement
,CURRENCY,-[fibo:hasCurrency]-> (fibo:Currency) -[fibo:hasTextualName]-> (VALUE)
,ISWRITEOFF,-[fibo:isEvidencedBy]-> (fibo:ContractDocument) -[efs:has_iswriteoff_VALUE]-> (VALUE)
,FINAL_BASE_RATE,-[fibo:hasInterestRate]-> (fibo:BaseRate) -[fibo:hasRateValue]-> (VALUE)
,UTILISATION_STATUS_USER_ID,-[efs:hasActionStatus]-> (fibo:ActionStatus) -[efs:has_utilisation_status_user_id]-> (fibo:LegalAgent) -[efs:has_utilisation_status_user_id_VALUE]-> (VALUE)
,UTILISATION_STATUS,-[efs:has_utilisation_status]-> (fibo:ActionStatus) -[fibo:hasTag]-> (VALUE)
,UTILISATION_STATUS_DATE,-[efs:hasActionStatus]-> (fibo:ActionStatus) -[fibo:hasStage]-> (fibo:LifecycleStageOccurrence) -[fibo:hasEventDate]-> (fibo:Date) -[fibo:hasDateValue]-> (VALUE)
,STATUS,-[efs:has_status]-> (fibo:ActionStatus) -[fibo:hasTag]-> (VALUE)
,RELATED_CASES,-[efs:has_related_cases_VALUE]-> (VALUE)
,SETTLE_AMOUNT,-[fibo:hasContractualElement]-> (fibo:SettlementTerms) -[fibo:hasSettlementAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,ACCEPTANCE_LEVEL,-[efs:has_acceptance_level_VALUE]-> (VALUE)
,INITIAL_AMOUNT,-[fibo:hasMonetaryAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,INITIAL_BASE_RATE,-[fibo:hasInterestRate]-> (fibo:BaseRate) -[fibo:hasRateValue]-> (VALUE)
,,
payment,,IndividualPaymentTransaction
,SDATE,-[efs:has_sdate]-> (fibo:DateTime) -[fibo:hasDateTimeValue]-> (VALUE)
,PAYMENTTYPE,-[fibo:isClassifiedBy]-> (fibo:TransactionCategory) -[fibo:hasTag]-> (VALUE)
,PAYDATE,-[fibo:hasTransactionDate]-> (fibo:TransactionDate) -[fibo:hasDateValue]-> (VALUE)
,DESCRIPTION,-[fibo:hasTransactionDescription]-> (VALUE)
,PAYAMOUNT,-[fibo:hasMonetaryAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,PAY_KEY,-[fibo:isIdentifiedBy]-> (fibo:TransactionIdentifier) -[fibo:hasTag]-> (VALUE)
,CURRENCY_CODE,-[fibo:hasPaymentAmount]-> (fibo:MonetaryAmount) -[fibo:hasCurrency]-> (fibo:Currency) -[fibo:hasNumericCode]-> (VALUE)
,,
person,,LegallyCompetentNaturalPerson
,LANGUAGE_,-[efs:has_language_]-> (fibo:Language) -[fibo:hasEnglishName]-> (VALUE)
,DT_LAST_ACTION,-[efs:has_dt_last_action_VALUE]-> (VALUE)
,FULL_NAME,-[fibo:hasName]-> (fibo:PersonName) -[fibo:hasTag]-> (VALUE)
,SECONDARY_ID,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,GENDER,-[fibo:hasGender]-> (VALUE)
,D_CREATED,-[fibo:hasDateAdded]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,SEARCH_KEY,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,BIRTHDAY,-[fibo:hasDateOfBirth]-> (fibo:DateOfBirth) -[fibo:hasDateValue]-> (VALUE)
,D_UPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,,
person_extra,,LegallyCompetentNaturalPerson
,NATIONALITY,-[fibo:hasCitizenship]-> (fibo:Country) -[efs:has_nationality_VALUE]-> (VALUE)
,IS_DECEASED,-[fibo:hasDateOfDeath]-> (fibo:DateOfDeath) -[efs:has_is_deceased_VALUE]-> (VALUE)
,PERSON_STATUS,-[fibo:hasEntityStatus]-> (fibo:EntityStatus) -[efs:has_person_status_VALUE]-> (VALUE)
,RESIDENCE_COUNTRY,-[fibo:hasResidence]-> (fibo:ConventionalStreetAddress) -[fibo:hasCountry]-> (fibo:Country) -[fibo:hasEnglishFullName]-> (VALUE)
,,
phone,,TelephoneNumber
,IS_COMMUNICATION,-[efs:has_is_communication_VALUE]-> (VALUE)
,DT_UPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,SECONDARY_ID,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,,
product,,LoanProduct
,CODE,-[fibo:isSignifiedBy]-> (fibo:CodeElement) -[fibo:hasTag]-> (VALUE)
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,,
productcategory,,LoanProduct
,CODE,-[fibo:isSignifiedBy]-> (fibo:CodeElement) -[fibo:hasTag]-> (VALUE)
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,,
productreportcategory,,Report
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,,
queue,,Registry
,TOTAL,-[fibo:hasCollectionSize]-> (VALUE)
,WORKED,-[fibo:hasCount]-> (VALUE)
,EXITED,-[fibo:hasCount]-> (VALUE)
,REMAINING,-[fibo:hasCollectionSize]-> (VALUE)
,ORDER_TYPE,-[efs:has_order_type_VALUE]-> (VALUE)
,QUEUE_KEY,-[fibo:isIdentifiedBy]-> (fibo:Identifier) -[fibo:hasTag]-> (VALUE)
,CAN_EXPIRE,-[fibo:hasExpirationDate]-> (fibo:Date) -[efs:has_can_expire_VALUE]-> (VALUE)
,EXIT_ACTION_CODE,-[efs:has_exit_action_code]-> (fibo:Action) -[efs:has_exit_action_code_VALUE]-> (VALUE)
,QUEUE_TYPE,-[efs:has_queue_type_VALUE]-> (VALUE)
,OWNER_USER,-[efs:has_owner_user]-> (fibo:LegalAgent) -[efs:has_owner_user_VALUE]-> (VALUE)
,DESCRIPTION,-[fibo:hasDescription]-> (VALUE)
,WORKING_MODE,-[efs:has_working_mode_VALUE]-> (VALUE)
,WORKED_ACTION_CATEGORY,-[efs:has_worked_action_category_VALUE]-> (VALUE)
,CAPTION,-[fibo:hasTag]-> (VALUE)
,IN_STRATEGY,-[fibo:hasStrategy]-> (fibo:Strategy) -[efs:has_in_strategy_VALUE]-> (VALUE)
,,
queue_case,,RegistryEntry
,STRATEGY_CASE_ID,-[fibo:hasStrategy]-> (fibo:Strategy) -[efs:has_strategy_case_id_VALUE]-> (VALUE)
,ACCOUNT_ENTRY_DATE,-[fibo:hasObservedDateTime]-> (fibo:CombinedDateTime) -[fibo:hasDateTimeValue]-> (VALUE)
,ACCOUNT_ENTRY_RULE_ID,-[efs:has_account_entry_rule_id_VALUE]-> (VALUE)
,ACCOUNT_ORDER,-[efs:has_account_order_VALUE]-> (VALUE)
,IS_WORKED,-[efs:has_is_worked_VALUE]-> (VALUE)
,,
rer_metric,,rer_metric
,CURRENCY_ID,-[fibo:hasCurrency]-> (fibo:Currency) -[fibo:hasNumericCode]-> (VALUE)
,PHASE_ID,-[fibo:hasStage]-> (fibo:LoanPhase) -[efs:has_phase_id_VALUE]-> (VALUE)
,LAST_PAY_AMOUNT,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasIndividualPayment]-> (fibo:IndividualPaymentTransaction) -[fibo:hasPaymentAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,DAYS_IN_PHASE,-[fibo:hasStage]-> (fibo:LoanPhase) -[efs:has_days_in_phase_VALUE]-> (VALUE)
